Time,GDP per capita (current US$) [NY.GDP.PCAP.CD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Gini index [SI.POV.GINI]
1973,157.0891109,..,..
1974,160.1476879,..,..
1975,178.3396141,..,..
1976,165.4042624,..,..
1977,185.4205374,..,..
1978,228.5193132,..,..
1979,272.1469227,..,..
1980,312.0203772,..,..
1981,291.3582375,..,..
1982,281.4993337,..,..
1983,297.8070225,..,..
1984,302.5858247,..,..
1985,294.7897349,..,..
1986,281.6994952,..,..
1987,301.7332495,..,..
1988,370.2192845,..,..
1989,407.8926582,..,..
1990,347.5783659,1.914546263,32.2
1991,359.2132687,2.000543284,..
1992,423.3044301,2.075740405,..
1993,525.3656924,2.244842079,33.9
1994,473.4899164,2.322189229,..
1995,609.6043379,2.563478759,..
1996,709.4158882,2.521871874,35.2
1997,781.7425612,2.547903664,..
1998,828.594691,2.605835732,..
1999,873.297611,2.517420763,38.7
2000,959.3604313,2.650409102,..
2001,1053.112314,2.774762197,..
2002,1148.514257,2.964821228,42
2003,1288.637491,3.434036479,..
2004,1508.667916,3.945154871,..
2005,1753.414192,4.467696361,40.9
2006,2099.21943,4.910276197,..
2007,2693.958732,5.306368006,..
2008,3468.327063,5.435079096,43
2009,3832.227457,5.798319938,..
2010,4550.473944,6.335419767,43.7
2011,5614.386022,6.901347326,42.4
2012,6300.58218,7.04520023,42.2
2013,7020.386074,7.320154925,39.7
2014,7636.07434,7.304712872,39.2
2015,8016.445595,7.145131535,38.6
2016,8094.390167,7.105479936,38.5
2017,8817.045608,7.226160154,39.1
2018,9905.406383,7.533193134,38.5
2019,10143.86022,7.645435786,38.2
2020,10408.71955,7.756137907,37.1
2021,12617.5051,..,..
2022,12720.21632,..,..
